sentence_id	text	start_time	end_time	image_file
S001	Right now, something inside you wants sugar.	0.00	3.79	1. Right now, something inside you wants sugar..png
S002	Maybe it's been a long day.	3.79	6.15	2. Maybe it's been a long day..png
S003	Maybe someone said something that hurt, or maybe nothing happened at all and the sadness just arrived on its own.	6.15	12.84	3. Maybe someone said something that hurt, or maybe nothing happened at all and the sadness just arrived on its own..png
S004	You open the cabinet.	12.84	14.94	4. You open the cabinet..png
S005	You stand in front of the vending machine at work, the blue light buzzing over rows of chocolate and gum.	14.94	20.98	5. You stand in front of the vending machine at work, the blue light buzzing over rows of chocolate and gum..png
S006	Your hand reaches before your mind decides anything.	20.98	24.68	6. Your hand reaches before your mind decides anything..png
S007	This is not a flaw.	24.68	26.74	7. This is not a flaw..png
S008	This is not weakness.	26.74	28.94	8. This is not weakness..png
S009	This is a system inside your brain that is several hundred thousand years older than the vending machine itself, and it is doing exactly what it was built to do.	28.94	37.58	9. This is a system inside your brain that is several hundred thousand years older than the vending machine itself, and it is doing exactly what it was built to do..png
S010	Here is the strange part.	37.58	39.84	10. Here is the strange part..png
S011	Sugar itself is not particularly nutritious.	39.84	43.39	11. Sugar itself is not particularly nutritious..png
S012	It has almost no protein, no fat, none of the building blocks your body actually needs to repair itself.	43.39	50.31	12. It has almost no protein, no fat, none of the building blocks your body actually needs to repair itself..png
S013	And yet, when you are anxious, grieving, exhausted, or simply low, your brain does not reach for protein.	50.31	57.96	13. And yet, when you are anxious, grieving, exhausted, or simply low, your brain does not reach for protein..png
S014	It reaches for sweetness.	57.96	60.34	14. It reaches for sweetness..png
S015	Why would a system shaped by millions of years of survival pressure prioritize something so nutritionally empty at the exact moment your body should be asking for repair_	60.34	69.81	15. Why would a system shaped by millions of years of survival pressure prioritize something so nutritionally empty at the exact moment your body should be asking for repair_.png
S016	The answer is not really about food.	69.81	71.37	16. The answer is not really about food..png
S017	It is about a season that ended roughly twelve thousand years ago, and a signal your brain has never stopped listening for.	71.37	78.60	17. It is about a season that ended roughly twelve thousand years ago, and a signal your brain has never stopped listening for..png
S018	Before there were vending machines, before there was agriculture, before there was anything resembling a kitchen, there was a single, narrow window each year when the most valua	78.60	95.71	18. Before there were vending machines, before there was agriculture, before there was anything resembling a kitchen, there was a single, narrow window each year when the most valua.png
S019	What happened inside that window rewired something in the human brain that has not changed since — and it explains, with uncomfortable precision, why grief and a candy bar ended	95.71	107.95	19. What happened inside that window rewired something in the human brain that has not changed since — and it explains, with uncomfortable precision, why grief and a candy bar ended.png
S020	But that is only half the story.	107.95	110.63	20. But that is only half the story..png
S021	Around fifty million years ago, the ancestors of modern primates evolved something unusual_ full color vision.	110.63	118.21	21. Around fifty million years ago, the ancestors of modern primates evolved something unusual_ full color vision..png
S022	In 1996, biologist gerald jacobs at the university of california, santa barbara, traced this shift directly back to fruit.	118.21	127.28	22. In 1996, biologist Gerald Jacobs at the University of California, Santa Barbara, traced this shift directly back to fruit..png
S023	Most mammals see only a narrow range of blues and yellows.	127.28	131.61	23. Most mammals see only a narrow range of blues and yellows..png
S024	Primates gained the ability to see red and orange clearly — the exact colors of ripening fruit against green leaves.	131.61	138.99	24. Primates gained the ability to see red and orange clearly — the exact colors of ripening fruit against green leaves..png
S025	This was not decorative.	138.99	141.21	25. This was not decorative..png
S026	It was a targeting system, built so the eye could find the few days each fruit was edible before it rotted or vanished.	141.21	148.19	26. It was a targeting system, built so the eye could find the few days each fruit was edible before it rotted or vanished..png
